0,62000,70060
0,61994,2600
0,61992,0
0,61991,0
0,61988,0
0,61974,4630
0,61968,0
1,62042,0
1,62046,0
1,62048,0
1,62050,0
1,62052,2310
1,62060,46710
1,62065,70060
1,62072,0
1,62076,70060
0,62024,0
0,62023,0
0,62022,0
0,62021,0
0,62021,0
0,62019,35970
0,62019,46770
0,62019,46770
0,62018,0
0,62018,0
0,62017,40350
0,62016,0
0,62013,0
0,62012,650
0,62011,0
0,62010,0
0,62006,0
0,62002,0
0,62000,0
0,61996,0
0,61994,0
0,61994,0
0,61992,29350
0,61991,0
0,61991,0
0,61991,0
0,61986,0
0,61982,5320
0,61980,0
0,61980,205890
0,61974,0
0,61967,161370
0,61962,0
0,61957,0
0,61849,0
1,62025,0
1,62025,0
1,62029,0
1,62030,0
1,62032,0
1,62032,0
1,62035,0
1,62037,0
1,62037,0
1,62037,2040
1,62038,30930
1,62039,0
1,62040,0
1,62042,0
1,62043,0
1,62044,40330
1,62049,0
1,62050,0
1,62051,0
1,62052,0
1,62053,0
1,62057,0
1,62058,0
1,62060,0
1,62067,214710
1,62069,46710
1,62073,0
1,62080,5550
1,62082,0
1,62083,0
1,62091,161000
1,62104,0
1,62112,7450
1,62284,264590
1,62348,0
1,62353,2450
1,77471,160
0,62025,790
0,62022,40340
0,62019,0
0,62019,0
0,62019,0
0,62017,0
0,62001,0
0,61994,1450
0,61982,0
0,61849,0
0,61709,0
1,62037,0
1,62044,0
1,62047,770
1,62050,40330
1,62057,0
1,62065,0
1,62068,1450
1,62069,0
1,62080,0
1,62102,0
1,62159,0
1,62298,0
1,77471,160
0,62022,0
0,62016,0
0,62010,0
0,61994,0
0,61994,0
0,61993,0
0,61992,0
0,61992,0
0,61980,0
0,61976,0
1,62039,0
1,62045,0
1,62050,0
1,62063,0
1,62064,0
1,62068,0
1,62079,0
1,62086,0
1,62122,4700
1,62284,0
0,62025,0
0,62019,790
0,62010,40350
0,62009,0
0,62004,0
0,61997,29350
0,61992,0
0,61989,1830
0,61988,0
0,61974,208120
0,61970,3500
0,61967,0
0,61961,161390
0,61937,241080
0,61857,0
1,62034,30930
1,62037,0
1,62038,0
1,62045,40330
1,62047,0
1,62056,1750
1,62059,70060
1,62073,3590
1,62086,208380
0,61997,0
0,61994,29350
0,61991,2000
0,61989,0
1,62033,30930
1,62034,0
1,62041,790
1,62076,0
1,62276,233560
1,77471,0
1,77471,320
0,61994,0
0,61993,2200
0,61993,29350
0,61991,0
0,61897,642660
0,61875,0
1,62030,30930
1,62033,0
1,62054,2180
1,62056,0
0,62015,40350
0,62015,35330
0,62010,0
0,61995,2540
0,61993,0
0,61970,0
0,61955,60060
0,61946,0
0,61917,95090
0,61909,0
0,61869,121130
0,61730,185890
1,62034,3320
1,62095,0
1,62103,63240
1,62132,0
1,62140,90950
1,62169,0
1,62178,180050
1,62319,17930
1,77471,640
0,62024,0
0,62022,0
0,62020,0
0,62020,0
0,62018,0
0,62015,0
0,62015,0
0,62002,0
0,61997,0
0,61996,29350
0,61995,0
0,61995,0
0,61993,0
0,61989,0
0,61968,161370
0,61961,0
1,62029,0
1,62030,0
1,62032,30930
1,62034,0
